12/1/2040,15.75
12/2/2040,15.29
12/3/2040,14.87
12/4/2040,14.44
12/5/2040,20.16
12/6/2040,71.23
12/7/2040,75.89
12/8/2040,64.41
12/9/2040,56.08
12/10/2040,50.08
12/11/2040,45.13
12/12/2040,42.73
12/13/2040,43.83
12/14/2040,41.74
12/15/2040,39.94
12/16/2040,43.47
12/17/2040,43.75
12/18/2040,40.44
12/19/2040,37.29
12/20/2040,34.71
12/21/2040,33.16
12/22/2040,33.97
12/23/2040,34.89
12/24/2040,34.22
12/25/2040,33.13
12/26/2040,31.47
12/27/2040,29.45
12/28/2040,27.79
12/29/2040,26.38
12/30/2040,25.00
12/31/2040,23.77
1/1/2041,22.64
1/2/2041,21.65
1/3/2041,20.73
1/4/2041,19.92
1/5/2041,19.14
1/6/2041,18.47
1/7/2041,17.83
1/8/2041,17.55
1/9/2041,23.38
1/10/2041,28.85
1/11/2041,28.08
1/12/2041,26.49
1/13/2041,25.11
1/14/2041,23.98
1/15/2041,23.03
1/16/2041,22.18
1/17/2041,21.40
1/18/2041,20.62
1/19/2041,19.81
1/20/2041,21.79
1/21/2041,52.80
1/22/2041,66.64
1/23/2041,58.69
1/24/2041,51.77
1/25/2041,46.37
1/26/2041,43.68
1/27/2041,46.83
1/28/2041,56.01
1/29/2041,67.10
1/30/2041,68.09
1/31/2041,61.17
2/1/2041,53.61
2/2/2041,48.35
2/3/2041,44.74
2/4/2041,42.10
2/5/2041,40.08
2/6/2041,37.96
2/7/2041,35.39
2/8/2041,32.95
2/9/2041,31.29
2/10/2041,42.17
2/11/2041,48.73
2/12/2041,44.57
2/13/2041,40.58
2/14/2041,46.58
2/15/2041,145.74
2/16/2041,156.97
2/17/2041,107.99
2/18/2041,85.11
2/19/2041,82.81
2/20/2041,87.55
2/21/2041,103.22
2/22/2041,112.48
2/23/2041,91.18
2/24/2041,74.37
2/25/2041,64.34
2/26/2041,58.38
2/27/2041,54.67
2/28/2041,52.02
3/1/2041,49.65
3/2/2041,47.43
3/3/2041,45.27
3/4/2041,43.23
3/5/2041,41.35
3/6/2041,53.29
3/7/2041,193.42
3/8/2041,192.47
3/9/2041,129.15
3/10/2041,101.78
3/11/2041,80.94
3/12/2041,106.40
3/13/2041,298.44
3/14/2041,321.68
3/15/2041,229.76
3/16/2041,185.37
3/17/2041,140.73
3/18/2041,106.51
3/19/2041,85.89
3/20/2041,70.95
3/21/2041,62.08
3/22/2041,56.82
3/23/2041,53.25
3/24/2041,50.57
3/25/2041,48.31
3/26/2041,46.23
3/27/2041,44.21
3/28/2041,42.31
3/29/2041,40.51
3/30/2041,38.78
3/31/2041,37.15
4/1/2041,35.60
4/2/2041,34.15
4/3/2041,32.74
4/4/2041,31.39
4/5/2041,30.16
4/6/2041,28.92
4/7/2041,27.76
4/8/2041,26.66
4/9/2041,25.64
4/10/2041,24.68
4/11/2041,23.73
4/12/2041,22.85
4/13/2041,22.04
4/14/2041,21.22
4/15/2041,20.45
4/16/2041,19.63
4/17/2041,18.86
4/18/2041,18.15
4/19/2041,17.52
4/20/2041,16.88
4/21/2041,16.32
4/22/2041,15.79
4/23/2041,15.29
4/24/2041,14.83
4/25/2041,14.37
4/26/2041,13.98
4/27/2041,13.91
4/28/2041,14.20
4/29/2041,14.02
4/30/2041,13.67
5/1/2041,13.28
5/2/2041,12.93
5/3/2041,12.57
5/4/2041,12.25
5/5/2041,11.97
5/6/2041,11.69
5/7/2041,11.41
5/8/2041,11.12
5/9/2041,10.91
5/10/2041,10.70
5/11/2041,10.56
5/12/2041,10.38
5/13/2041,10.21
5/14/2041,9.99
5/15/2041,9.96
5/16/2041,11.44
5/17/2041,15.26
5/18/2041,17.41
5/19/2041,17.37
5/20/2041,16.85
5/21/2041,16.28
5/22/2041,15.75
5/23/2041,15.26
5/24/2041,14.87
5/25/2041,15.72
5/26/2041,16.24
5/27/2041,15.89
5/28/2041,15.40
5/29/2041,14.94
5/30/2041,14.51
5/31/2041,14.09
6/1/2041,13.67
6/2/2041,13.31
6/3/2041,12.93
6/4/2041,12.61
6/5/2041,12.29
6/6/2041,12.04
6/7/2041,12.50
6/8/2041,14.62
6/9/2041,18.08
6/10/2041,19.81
6/11/2041,20.27
6/12/2041,20.59
6/13/2041,22.07
6/14/2041,27.55
6/15/2041,31.25
6/16/2041,30.79
